"","lhs","","rhs","support","confidence","lift","count","ST_chisq","ST_fisher"
"[33]","{6G}","=>","{6B}",0.00137741046831956,1,4.14857142857143,1,0.0757914888617098,0.241046831955923
"[34]","{6B}","=>","{6G}",0.00137741046831956,0.00571428571428571,4.14857142857143,1,0.0757914888617098,0.241046831955923
"[35]","{27}","=>","{10F}",0.00137741046831956,0.5,72.6,1,3.06853564796058e-17,0.0137361071530352
"[36]","{10F}","=>","{27}",0.00137741046831956,0.2,72.6,1,3.06853564796056e-17,0.0137361071530351
"[37]","{27}","=>","{19A}",0.00137741046831956,0.5,2.03932584269663,1,0.401552226627404,0.430500617459865
"[38]","{19A}","=>","{27}",0.00137741046831956,0.00561797752808989,2.03932584269663,1,0.401552226627404,0.430500617459865
"[39]","{10C}","=>","{10A}",0.00137741046831956,1,31.5652173913043,1,3.15890493840685e-08,0.0316804407713498
"[40]","{10A}","=>","{10C}",0.00137741046831956,0.0434782608695652,31.5652173913043,1,3.15890493840685e-08,0.0316804407713493
"[41]","{10C}","=>","{1}",0.00137741046831956,1,21.3529411764706,1,6.3456242431687e-06,0.046831955922865
"[42]","{1}","=>","{10C}",0.00137741046831956,0.0294117647058824,21.3529411764706,1,6.3456242431687e-06,0.0468319559228655
"[43]","{10C}","=>","{3}",0.00137741046831956,1,17.2857142857143,1,5.38311497027617e-05,0.0578512396694216
"[44]","{3}","=>","{10C}",0.00137741046831956,0.0238095238095238,17.2857142857143,1,5.38311497027617e-05,0.0578512396694215
"[45]","{10C}","=>","{19F}",0.00137741046831956,1,5.04166666666667,1,0.0442435889036518,0.198347107438016
"[46]","{19F}","=>","{10C}",0.00137741046831956,0.00694444444444444,5.04166666666667,1,0.0442435889036519,0.198347107438017
"[47]","{2}","=>","{13}",0.00137741046831956,0.5,45.375,1,3.28076022636453e-11,0.0219321744086634
"[48]","{13}","=>","{2}",0.00137741046831956,0.125,45.375,1,3.28076022636453e-11,0.0219321744086634
"[49]","{2}","=>","{17F}",0.00137741046831956,0.5,30.25,1,7.86981758303417e-08,0.0328070675406096
"[50]","{17F}","=>","{2}",0.00137741046831956,0.0833333333333333,30.25,1,7.86981758303414e-08,0.0328070675406095
"[51]","{2}","=>","{3}",0.00137741046831956,0.5,8.64285714285714,1,0.0073173209247127,0.112430891992021
"[52]","{3}","=>","{2}",0.00137741046831956,0.0238095238095238,8.64285714285714,1,0.0073173209247127,0.11243089199202
"[53]","{11D}","=>","{11E}",0.00137741046831956,1,726,1,6.63710463704554e-160,0.00137741046831952
