"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"118","34","10A",0,204,192,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"119","18B","10A",0,21,192,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"120","29","10A",0,55,192,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"121","19F","10A",3,1199,192,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"122","19C","10A",0,10,192,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"123","24F","10A",0,69,192,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"124","19B","10A",0,33,192,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"125","10C","10A",1,4,192,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"126","11D","10A",1,2,192,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"127","8","10A",0,180,192,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"128","7A","10A",0,7,192,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"129","6A","10A",4,979,192,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"130","16F","10A",0,229,192,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"131","19A","10A",4,1132,192,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"132","6G","10A",0,1,192,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"133","28F","10A",0,24,192,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"134","5","10A",0,73,192,0,"1","1","1","0","0","0","0","1","0","1","0","2"
"135","33B","10A",0,20,192,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"136","15A","10A",2,285,192,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"137","24A","10A",0,9,192,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"138","35C","10A",0,41,192,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"139","4","10A",0,284,192,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"140","15F","10A",0,21,192,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"141","11E","10B",0,1,27,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"142","9A","10B",0,33,27,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"143","10C","10B",0,4,27,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"144","18A","10B",0,40,27,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"145","10B","10B",0,27,27,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"146","12F","10B",0,114,27,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"147","31","10B",0,75,27,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"148","11B","10B",0,15,27,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"149","23F","10B",1,810,27,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"150","2","10B",0,25,27,0,"1","1","1","0","0","1","0","1","0","0","0","1"
"151","32A","10B",0,10,27,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"152","7A","10B",0,7,27,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"153","35F","10B",0,113,27,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"154","33D","10B",0,11,27,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"155","6B","10B",1,1168,27,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"156","18F","10B",0,21,27,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"157","34","10B",0,204,27,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"158","14","10B",0,808,27,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"159","42","10B",0,10,27,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"160","35A","10B",0,32,27,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"161","4","10B",0,284,27,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"162","33B","10B",0,20,27,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"163","9V","10B",0,258,27,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"164","33F","10B",0,110,27,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"165","6E","10B",0,84,27,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"166","37","10B",0,27,27,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"167","7F","10B",1,176,27,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"168","29","10B",0,55,27,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"169","3","10B",0,382,27,0,"1","1","1","0","0","0","0","1","0","0","0","1"
