"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"235","25F","10C",0,2,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"236","18F","10C",1,7,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"237","46","10C",0,2,2,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"238","4","10C",1,45,2,0,"0","2","0","0","0","0","0","1","0","1","1","2"
"239","13","10C",1,25,2,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"240","35F","10C",1,20,2,0,"0","2","0","0","0","0","0","2","0","0","0","1"
"241","12A","10C",0,7,2,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"242","19C","10C",1,5,2,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"243","6F","10C",1,2,2,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"244","7A","10C",0,5,2,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"245","28F","10C",0,6,2,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"246","41A","10C",0,1,2,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"247","21","10C",1,18,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"248","11F","10C",1,2,2,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"249","6E","10C",1,15,2,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"250","35B","10C",1,23,2,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"251","9A","10C",1,6,2,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"252","35A","10C",0,11,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"253","10F","10C",2,9,2,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"254","6B","10C",1,109,2,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"255","23F","10C",2,68,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"256","19B","10C",1,9,2,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"257","33F","10C",0,14,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"258","45","10C",0,4,2,0,"0","2","0","1","0","1","1","1","0","1","0","2"
"259","29","10C",1,17,2,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"260","42","10C",1,7,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"261","11E","10C",0,1,2,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"262","20B","10C",0,2,2,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"263","15A","10C",1,35,2,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"264","19F","10C",1,95,2,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"265","14","10C",2,49,2,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"266","33D","10C",0,4,2,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"267","11A","10C",1,32,2,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"268","12F","10C",1,20,2,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"269","31","10C",1,8,2,0,"1","2","0","0","0","1","0","1","0","0","0","1"
"270","19A","10C",1,103,2,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"271","18C","10C",1,26,2,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"272","8","10C",1,22,2,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"273","11C","10C",1,5,2,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"274","34","10C",1,29,2,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"275","2","10C",1,2,2,0,"1","1","1","0","0","1","0","1","0","0","0","1"
"276","5","10C",0,11,2,0,"1","1","1","0","0","0","0","1","0","1","0","2"
"277","15B/C","10C",1,38,2,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"278","24A","10C",0,3,2,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"279","27","10C",0,4,2,0,"0","2","1","1","0","1","0","1","1","0","0","2"
"280","17F","10C",1,16,2,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"281","11D","10C",0,1,2,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"282","9N","10C",1,15,2,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"283","33A","10C",0,3,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"284","7F","10C",2,20,2,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"285","10C","10C",0,2,2,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"286","32F","10C",0,2,2,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"287","37","10C",0,8,2,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"288","28A","10C",0,3,2,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"289","22F","10C",1,19,2,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"290","35C","10C",0,16,2,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"291","3","10C",2,45,2,0,"1","1","1","0","0","0","0","1","0","0","0","1"
"292","11B","10C",0,5,2,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"293","9V","10C",1,26,2,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"294","18A","10C",1,11,2,0,"0","2","1","1","0","1","1","1","0","0","0","2"
