"","X","sero_pair","mc_st_index_sig","mc_cc_index_sig","mb_st_index_lift","mb_cc_index_lift","total"
"355",355,"19F - 6A",1,1,0.5,0,2.5
"356",356,"19F - 6B",1,1,0.5,0,2.5
"357",357,"19F - 6C/D",1,1,0.5,0,2.5
"359",359,"19F - 7F",1,1,0.5,0,2.5
"360",360,"19F - 8",1,1,0.5,0,2.5
"361",361,"19F - 9A",1,1,0.5,0,2.5
"362",362,"19F - 9L",1,1,0.5,0,2.5
"375",375,"22F - 23F",1,1,0.5,0,2.5
"395",395,"23A - 4",1,1,0.5,0,2.5
"396",396,"23A - 6A",1,1,0.5,0,2.5
"397",397,"23A - 6B",1,1,0.5,0,2.5
"398",398,"23A - 6C/D",1,1,0.5,0,2.5
"402",402,"23A - 9V",1,1,0.5,0,2.5
"408",408,"23B - 6A",1,1,0.5,0,2.5
"412",412,"23B - 9V",1,1,0.5,0,2.5
"413",413,"23F - 24F",1,1,0.5,0,2.5
"414",414,"23F - 29",1,1,0.5,0,2.5
"418",418,"23F - 35B",1,1,0.5,0,2.5
"419",419,"23F - 35C",1,1,0.5,0,2.5
"420",420,"23F - 38",1,1,0.5,0,2.5
"421",421,"23F - 4",1,1,0.5,0,2.5
"426",426,"23F - 6B",1,1,0.5,0,2.5
"427",427,"23F - 6C/D",1,1,0.5,0,2.5
"428",428,"23F - 6E",1,1,0.5,0,2.5
"430",430,"23F - 7F",1,1,0.5,0,2.5
"431",431,"23F - 8",1,1,0.5,0,2.5
"432",432,"23F - 9A",1,1,0.5,0,2.5
"433",433,"23F - 9L",1,1,0.5,0,2.5
"434",434,"23F - 9N",1,1,0.5,0,2.5
"435",435,"23F - 9V",1,1,0.5,0,2.5
"439",439,"24F - 6A",1,1,0.5,0,2.5
"440",440,"24F - 6B",1,1,0.5,0,2.5
"453",453,"3 - 35B",1,1,0.5,0,2.5
"457",457,"3 - 4",1,1,0.5,0,2.5
"460",460,"3 - 6A",1,1,0.5,0,2.5
"461",461,"3 - 6B",1,1,0.5,0,2.5
"462",462,"3 - 6C/D",1,1,0.5,0,2.5
"463",463,"3 - 6E",1,1,0.5,0,2.5
"473",473,"33A - 6A",1,1,0.5,0,2.5
"476",476,"33B - 6B",1,1,0.5,0,2.5
"487",487,"34 - 6A",1,1,0.5,0,2.5
"488",488,"34 - 6B",1,1,0.5,0,2.5
"498",498,"35B - 6A",1,1,0.5,0,2.5
"499",499,"35B - 6B",1,1,0.5,0,2.5
"500",500,"35B - 6C/D",1,1,0.5,0,2.5
"509",509,"35F - 6A",1,1,0.5,0,2.5
"511",511,"37 - 6A",1,1,0.5,0,2.5
"512",512,"37 - 6B",1,1,0.5,0,2.5
"517",517,"4 - 6B",1,1,0.5,0,2.5
"523",523,"42 - 6A",1,1,0.5,0,2.5
"524",524,"42 - 6B",1,1,0.5,0,2.5
"527",527,"5 - 6A",1,1,0.5,0,2.5
"533",533,"6A - 7F",1,1,0.5,0,2.5
"534",534,"6A - 8",1,1,0.5,0,2.5
"535",535,"6A - 9A",1,1,0.5,0,2.5
"536",536,"6A - 9V",1,1,0.5,0,2.5
"540",540,"6B - 7B/C",1,1,0.5,0,2.5
"541",541,"6B - 7F",1,1,0.5,0,2.5
"542",542,"6B - 8",1,1,0,0.5,2.5
"544",544,"6B - 9N",1,1,0.5,0,2.5
"545",545,"6B - 9V",1,1,0.5,0,2.5
"548",548,"6C/D - 7F",1,1,0.5,0,2.5
"549",549,"6C/D - 8",1,1,0.5,0,2.5
"4",4,"1 - 14",1,1,0,0,2
"7",7,"1 - 16F",1,1,0,0,2
"8",8,"1 - 17F",1,1,0,0,2
"9",9,"1 - 18C",1,1,0,0,2
"11",11,"1 - 19F",1,1,0,0,2
"12",12,"1 - 21",1,1,0,0,2
"15",15,"1 - 23B",1,1,0,0,2
"16",16,"1 - 23F",1,1,0,0,2
"17",17,"1 - 24F",1,1,0,0,2
"18",18,"1 - 3",1,1,0,0,2
"19",19,"1 - 35B",1,1,0,0,2
"27",27,"1 - 7F",1,1,0,0,2
"28",28,"1 - 9V",1,1,0,0,2
"32",32,"10A - 15A",1,1,0,0,2
"36",36,"10A - 22F",1,1,0,0,2
"38",38,"10A - 23B",1,1,0,0,2
"40",40,"10A - 3",1,1,0,0,2
"44",44,"10A - 7F",1,1,0,0,2
"59",59,"10F - 3",1,1,0,0,2
"62",62,"11A - 12F",1,1,0,0,2
"63",63,"11A - 13",1,1,0,0,2
"64",64,"11A - 14",1,1,0,0,2
"65",65,"11A - 15A",1,1,0,0,2
"66",66,"11A - 15B/C",1,1,0,0,2
"68",68,"11A - 16F",1,1,0,0,2
"69",69,"11A - 18A",1,1,0,0,2
"70",70,"11A - 18C",1,1,0,0,2
"71",71,"11A - 19A",1,1,0,0,2
"73",73,"11A - 22F",1,1,0,0,2
"75",75,"11A - 23B",1,1,0,0,2
"78",78,"11A - 3",1,1,0,0,2
"83",83,"11A - 35B",1,1,0,0,2
"90",90,"11A - 7B/C",1,1,0,0,2
"91",91,"11A - 7F",1,1,0,0,2
"92",92,"11A - 8",1,1,0,0,2
"94",94,"11A - 9N",1,1,0,0,2
"97",97,"11B - 19F",1,1,0,0,2
"99",99,"11B - 6B",1,1,0,0,2
"101",101,"11C - 14",1,1,0,0,2
"105",105,"12A - 14",1,1,0,0,2
"109",109,"12F - 16F",1,1,0,0,2
"113",113,"12F - 3",1,1,0,0,2
"115",115,"12F - 4",1,1,0,0,2
"119",119,"12F - 9N",1,1,0,0,2
"120",120,"12F - 9V",1,1,0,0,2
"121",121,"13 - 14",1,1,0,0,2
"122",122,"13 - 15B/C",1,1,0,0,2
"123",123,"13 - 17F",1,1,0,0,2
"125",125,"13 - 19A",1,1,0,0,2
"127",127,"13 - 23A",1,1,0,0,2
"128",128,"13 - 23F",1,1,0,0,2
"130",130,"13 - 35B",1,1,0,0,2
"134",134,"13 - 6C/D",1,1,0,0,2
"137",137,"14 - 15A",1,1,0,0,2
"139",139,"14 - 18C",1,1,0,0,2
"140",140,"14 - 18F",1,1,0,0,2
"141",141,"14 - 19A",1,1,0,0,2
"142",142,"14 - 19B",1,1,0,0,2
"143",143,"14 - 19C",1,1,0,0,2
"144",144,"14 - 19F",1,1,0,0,2
"146",146,"14 - 22F",1,1,0,0,2
"148",148,"14 - 23B",1,1,0,0,2
"151",151,"14 - 3",1,1,0,0,2
"152",152,"14 - 31",1,1,0,0,2
"153",153,"14 - 35B",1,1,0,0,2
"155",155,"14 - 38",1,1,0,0,2
"156",156,"14 - 4",1,1,0,0,2
"157",157,"14 - 42",1,1,0,0,2
"163",163,"14 - 7B/C",1,1,0,0,2
"164",164,"14 - 7F",1,1,0,0,2
"166",166,"14 - 9A",1,1,0,0,2
"167",167,"14 - 9L",1,1,0,0,2
"168",168,"14 - 9N",1,1,0,0,2
"172",172,"15A - 17F",1,1,0,0,2
"174",174,"15A - 19A",1,1,0,0,2
"176",176,"15A - 19F",1,1,0,0,2
"177",177,"15A - 21",1,1,0,0,2
"178",178,"15A - 23A",1,1,0,0,2
"179",179,"15A - 23B",1,1,0,0,2
"181",181,"15A - 3",1,1,0,0,2
"182",182,"15A - 31",1,1,0,0,2
"183",183,"15A - 33F",1,1,0,0,2
"186",186,"15A - 38",1,1,0,0,2
"191",191,"15A - 7B/C",1,1,0,0,2
"192",192,"15A - 8",1,1,0,0,2
"196",196,"15B/C - 17F",1,1,0,0,2
"197",197,"15B/C - 18C",1,1,0,0,2
"199",199,"15B/C - 19B",1,1,0,0,2
"200",200,"15B/C - 19F",1,1,0,0,2
"201",201,"15B/C - 21",1,1,0,0,2
"202",202,"15B/C - 22A",1,1,0,0,2
"205",205,"15B/C - 23B",1,1,0,0,2
"209",209,"15B/C - 3",1,1,0,0,2
"211",211,"15B/C - 35A",1,1,0,0,2
"214",214,"15B/C - 4",1,1,0,0,2
"218",218,"15B/C - 7B/C",1,1,0,0,2
"219",219,"15B/C - 8",1,1,0,0,2
"232",232,"16F - 19A",1,1,0,0,2
"235",235,"16F - 22F",1,1,0,0,2
"237",237,"16F - 3",1,1,0,0,2
"238",238,"16F - 33F",1,1,0,0,2
"242",242,"16F - 8",1,1,0,0,2
"246",246,"17F - 23A",1,1,0,0,2
"247",247,"17F - 23F",1,1,0,0,2
"248",248,"17F - 3",1,1,0,0,2
"249",249,"17F - 35B",1,1,0,0,2
"252",252,"17F - 4",1,1,0,0,2
"255",255,"17F - 9V",1,1,0,0,2
"257",257,"18A - 23F",1,1,0,0,2
"267",267,"18C - 22F",1,1,0,0,2
"272",272,"18C - 33F",1,1,0,0,2
"275",275,"18C - 35F",1,1,0,0,2
"276",276,"18C - 38",1,1,0,0,2
"277",277,"18C - 4",1,1,0,0,2
"281",281,"18C - 7F",1,1,0,0,2
"282",282,"18C - 8",1,1,0,0,2
"283",283,"18C - 9N",1,1,0,0,2
"290",290,"18F - 6C/D",1,1,0,0,2
"292",292,"19A - 19B",1,1,0,0,2
"293",293,"19A - 19C",1,1,0,0,2
"295",295,"19A - 21",1,1,0,0,2
"297",297,"19A - 22F",1,1,0,0,2
"298",298,"19A - 23A",1,1,0,0,2
"299",299,"19A - 23B",1,1,0,0,2
"300",300,"19A - 23F",1,1,0,0,2
"301",301,"19A - 24F",1,1,0,0,2
"302",302,"19A - 27",1,1,0,0,2
"305",305,"19A - 31",1,1,0,0,2
"307",307,"19A - 34",1,1,0,0,2
"314",314,"19A - 5",1,1,0,0,2
"319",319,"19A - 7B/C",1,1,0,0,2
"326",326,"19B - 19F",1,1,0,0,2
"328",328,"19B - 23F",1,1,0,0,2
"329",329,"19B - 3",1,1,0,0,2
"331",331,"19C - 19F",1,1,0,0,2
"332",332,"19F - 21",1,1,0,0,2
"333",333,"19F - 22F",1,1,0,0,2
"334",334,"19F - 23A",1,1,0,0,2
"335",335,"19F - 23B",1,1,0,0,2
"336",336,"19F - 23F",1,1,0,0,2
"337",337,"19F - 24F",1,1,0,0,2
"338",338,"19F - 28A",1,1,0,0,2
"340",340,"19F - 3",1,1,0,0,2
"341",341,"19F - 31",1,1,0,0,2
"343",343,"19F - 33B",1,1,0,0,2
"344",344,"19F - 33D",1,1,0,0,2
"348",348,"19F - 35F",1,1,0,0,2
"352",352,"19F - 42",1,1,0,0,2
"353",353,"19F - 48",1,1,0,0,2
"354",354,"19F - 5",1,1,0,0,2
"358",358,"19F - 7B/C",1,1,0,0,2
"363",363,"19F - 9N",1,1,0,0,2
"364",364,"19F - 9V",1,1,0,0,2
"367",367,"21 - 23F",1,1,0,0,2
"368",368,"21 - 3",1,1,0,0,2
"369",369,"21 - 9V",1,1,0,0,2
"377",377,"22F - 29",1,1,0,0,2
"378",378,"22F - 3",1,1,0,0,2
"380",380,"22F - 35B",1,1,0,0,2
"382",382,"22F - 4",1,1,0,0,2
"384",384,"22F - 8",1,1,0,0,2
"385",385,"22F - 9N",1,1,0,0,2
"386",386,"22F - 9V",1,1,0,0,2
"389",389,"23A - 24F",1,1,0,0,2
"390",390,"23A - 3",1,1,0,0,2
"392",392,"23A - 33F",1,1,0,0,2
"399",399,"23A - 7B/C",1,1,0,0,2
"400",400,"23A - 8",1,1,0,0,2
"403",403,"23B - 23F",1,1,0,0,2
"404",404,"23B - 3",1,1,0,0,2
"405",405,"23B - 31",1,1,0,0,2
"406",406,"23B - 35B",1,1,0,0,2
"409",409,"23B - 6B",1,1,0,0,2
"410",410,"23B - 6C/D",1,1,0,0,2
"411",411,"23B - 8",1,1,0,0,2
