"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"2882","35C","6C",0,4,28,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2883","35F","6C",0,13,28,0,"0","1","1","0","0","1","0","2","0","0","0","0"
"2884","28A","6C",0,3,28,0,"0","0","1","0","0","1","0","1","1","0","0","0"
"2885","20B","6C",0,5,28,0,"0","1","2","1","0","1","0","1","0","0","0","1"
"2886","15B/C","6C",1,32,28,0,"0","1","2","1","0","1","1","1","0","0","0","1"
"2887","10B","6C",0,5,28,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2888","15A","6C",0,21,28,0,"0","1","2","1","0","1","1","1","0","0","0","1"
"2889","39","6C",0,2,28,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2890","22F","6C",0,14,28,0,"1","1","2","0","0","2","0","1","0","0","0","0"
"2891","19B","6C",0,8,28,0,"0","0","2","0","0","2","0","1","0","0","1","1"
"2892","33C","6C",1,2,28,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2893","11A","6C",0,20,28,0,"0","1","2","0","0","1","1","1","0","0","0","0"
"2894","35B","6C",2,18,28,0,"0","1","2","0","0","1","0","2","0","0","0","1"
"2895","21","6C",0,10,28,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2896","46","6C",0,2,28,0,"0","1","1","1","0","1","0","1","0","1","0","1"
"2897","19A","6C",3,59,28,0,"0","0","2","0","0","2","0","1","0","0","1","1"
"2898","18A","6C",0,7,28,0,"0","1","2","1","0","2","1","1","0","0","0","1"
"2899","4","6C",0,14,28,0,"0","1","1","0","0","1","0","1","0","1","1","1"
"2900","17A","6C",0,2,28,0,"1","1","2","0","0","2","0","1","0","0","0","0"
"2901","9A","6D",0,1,2,0,"1","1","2","0","0","1","0","1","0","0","1","1"
"2902","19B","6D",0,8,2,0,"0","0","2","0","0","2","0","1","0","0","1","1"
"2903","16F","6D",0,23,2,0,"0","1","2","0","0","2","1","1","0","0","0","0"
"2904","39","6D",0,2,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2905","33A","6D",0,1,2,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2906","33B","6D",0,3,2,0,"0","1","2","0","0","1","0","2","0","0","0","1"
"2907","8","6D",0,7,2,0,"1","1","2","0","0","1","0","1","0","0","0","0"
"2908","35A","6D",0,8,2,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2909","4","6D",0,14,2,0,"0","1","1","0","0","1","0","1","0","1","1","1"
"2910","35C","6D",0,4,2,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2911","15A","6D",0,21,2,0,"0","1","2","1","0","1","1","1","0","0","0","1"
"2912","25F","6D",0,2,2,0,"0","0","2","0","0","2","0","2","0","0","0","0"
"2913","46","6D",0,2,2,0,"0","1","1","1","0","1","0","1","0","1","0","1"
"2914","28A","6D",0,3,2,0,"0","0","1","0","0","1","0","1","1","0","0","0"
"2915","33F","6D",0,3,2,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2916","18A","6D",0,7,2,0,"0","1","2","1","0","2","1","1","0","0","0","1"
"2917","15B/C","6D",0,32,2,0,"0","1","2","1","0","1","1","1","0","0","0","1"
"2918","33C","6D",0,2,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2919","12F","6D",0,7,2,0,"0","1","2","0","0","1","0","1","0","1","0","1"
"2920","33D","6D",0,2,2,0,"0","1","2","0","0","1","0","2","0","0","0","1"
"2921","7F","6D",0,4,2,0,"0","1","2","1","0","2","0","1","0","0","0","1"
"2922","45","6D",0,3,2,0,"0","1","1","1","0","2","1","1","0","1","0","1"
"2923","14","6D",0,21,2,0,"0","1","2","1","0","1","0","1","0","0","0","1"
