"","Serotype1","Serotype2","Freq","975tile"
"2998","24F","6B",3,13.025
"2999","24F","6C/D",3,9
"3004","24F","7B/C",3,3
"3010","24F","9V",3,4
"3228","28F","6B",3,9
"3241","29","3",4,10
"3251","29","35B",9,6
"3252","29","35C",4,4
"3253","29","35F",3,5
"3270","29","6A",4,19
"3271","29","6B",5,18
"3272","29","6C/D",4,12
"3273","29","6E",3,4
"3283","29","9V",3,6
"3284","3","31",3,6
"3290","3","33F",6,8
"3291","3","34",5,15
"3293","3","35B",5,11
"3294","3","35C",4,9
"3295","3","35F",5,11
"3297","3","37",5,6
"3300","3","4",7,19
"3312","3","6A",17,40
"3313","3","6B",15,39
"3314","3","6C/D",11,24
"3315","3","6E",4,9
"3319","3","7B/C",5,9
"3320","3","7F",8,11
"3321","3","8",6,11
"3324","3","9N",3,8
"3325","3","9V",10,13
"3354","31","6B",3,11
"3362","31","8",3,3
"3365","31","9N",3,2
"3410","33A","33F",3,1
"3470","33B","6A",3,12
"3472","33B","6C/D",3,7
"3543","33D","6A",3,7
"3544","33D","6B",3,8
"3563","33F","37",3,3
"3587","33F","8",3,5
"3593","34","35B",3,8
"3595","34","35F",4,7
"3600","34","4",6,13.025
"3612","34","6A",7,27
"3613","34","6B",10,27
"3614","34","6C/D",4,17
"3619","34","7B/C",3,6
"3620","34","7F",3,7.02499999999998
"3623","34","9L",3,5
"3625","34","9V",5,9
"3626","35A","35B",3,4
"3627","35A","35C",3,3
"3646","35A","6B",3,14
"3654","35A","8",3,4
"3658","35A","9V",3,5
"3659","35B","35C",6,5
"3660","35B","35F",4,6.02499999999998
"3677","35B","6A",5,23
"3678","35B","6B",6,25
"3679","35B","6C/D",6,14.025
"3686","35B","8",3,6
"3688","35B","9L",3,4
"3690","35B","9V",4,8
"3691","35C","35F",3,5
"3700","35C","42",5,3
"3709","35C","6B",3,17
"3710","35C","6C/D",3,11
"3721","35C","9V",4,6
"3726","35F","4",3,10
"3738","35F","6A",5,21
"3739","35F","6B",4,22
"3740","35F","6C/D",5,12
"3746","35F","7F",4,6
"3750","35F","9N",3,5
"3808","37","9V",3,4
"3810","38","4",4,7
"3822","38","6A",4,13
"3830","38","7F",4,4
"3865","4","42",3,5
"3873","4","6A",9,40
"3874","4","6B",11,39
"3875","4","6C/D",7,25
"3876","4","6E",4,8
"3880","4","7B/C",3,9
"3881","4","7F",5,11
"3882","4","8",3,11
"3884","4","9L",3,7
"3885","4","9N",4,8
"3886","4","9V",8,13
"3963","42","6A",3,11
"3964","42","6B",3,11
"3976","42","9V",3,4
"4082","5","6A",3,14
"4096","6A","6B",44,83
"4097","6A","6C/D",33,50
"4098","6A","6E",10,19
"4102","6A","7B/C",5,18
"4103","6A","7F",7,21
"4104","6A","8",5,22
"4105","6A","9A",3,9
"4106","6A","9L",3,14
"4107","6A","9N",3,17
"4108","6A","9V",10,25
"4109","6B","6C/D",29,50.05
"4110","6B","6E",13,18
"4114","6B","7B/C",6,18
"4115","6B","7F",7,22.025
"4116","6B","8",3,22
"4117","6B","9A",3,9.02499999999998
"4118","6B","9L",3,13
"4119","6B","9N",5,17
"4120","6B","9V",14,26
"4121","6C/D","6E",5,11
"4125","6C/D","7B/C",4,11
"4126","6C/D","7F",6,13
"4127","6C/D","8",4,14
"4129","6C/D","9L",3,8
"4130","6C/D","9N",3,10
"4131","6C/D","9V",8,16
"4141","6E","9V",3,6
"4160","7A","7F",4,2
"4166","7B/C","7F",3,5
"4171","7B/C","9V",4,6
"4172","7F","8",3,6
"4175","7F","9N",3,4.02499999999998
"4176","7F","9V",5,7
"4178","8","9L",3,4
"4180","8","9V",3,7
"4183","9A","9V",4,3
"4184","9L","9N",5,3
"4186","9N","9V",4,5
