"","Serotype1","Serotype2","Freq","025tile","975tile"
"3600","34","4",6,1,14
"3604","34","42",2,0,3
"3606","34","45",1,0,3
"3611","34","5",2,0,5
"3612","34","6A",7,6,28
"3613","34","6B",10,5,27
"3614","34","6C/D",4,2,16
"3615","34","6E",2,0,6
"3616","34","6F",1,0,2
"3617","34","6G",1,0,1
"3619","34","7B/C",3,0,6
"3620","34","7F",3,0,7
"3621","34","8",2,0,8
"3622","34","9A",1,0,4
"3623","34","9L",3,0,5
"3624","34","9N",2,0,6
"3625","34","9V",5,0,9
"3626","35A","35B",3,0,5
"3627","35A","35C",3,0,3
"3628","35A","35F",2,0,4
"3633","35A","4",1,0,6
"3637","35A","42",1,0,2
"3645","35A","6A",2,1,14
"3646","35A","6B",3,0,14
"3647","35A","6C/D",1,0,8
"3648","35A","6E",1,0,3
"3654","35A","8",3,0,4
"3656","35A","9L",1,0,2
"3657","35A","9N",1,0,3.02499999999998
"3658","35A","9V",3,0,5
"3659","35B","35C",6,0,5
"3660","35B","35F",4,0,6
"3661","35B","36",2,0,2
"3663","35B","38",1,0,4
"3664","35B","39",1,0,3
"3665","35B","4",2,1,11
"3669","35B","42",2,0,3
"3677","35B","6A",5,4,24
"3678","35B","6B",6,4,24
"3679","35B","6C/D",6,1,14
"3680","35B","6E",1,0,5
"3681","35B","6F",1,0,2
"3682","35B","6G",1,0,1
"3683","35B","7A",1,0,3
"3684","35B","7B/C",2,0,5
"3685","35B","7F",1,0,6
"3686","35B","8",3,0,7
"3687","35B","9A",1,0,3
"3688","35B","9L",3,0,4
"3689","35B","9N",1,0,5
"3690","35B","9V",4,0,8
"3691","35C","35F",3,0,5
"3692","35C","36",1,0,2
"3696","35C","4",2,0,9
"3700","35C","42",5,0,2
"3702","35C","45",1,0,2
"3708","35C","6A",2,2,17.025
"3709","35C","6B",3,2,17.025
"3710","35C","6C/D",3,0,11
"3714","35C","7A",1,0,2
"3715","35C","7B/C",1,0,4
"3716","35C","7F",2,0,5
"3717","35C","8",1,0,5
"3719","35C","9L",1,0,3
"3720","35C","9N",1,0,4
"3721","35C","9V",4,0,6
"3722","35F","36",1,0,2
"3723","35F","37",1,0,3
"3724","35F","38",1,0,4
"3726","35F","4",3,0,10
"3730","35F","42",1,0,3
"3732","35F","45",1,0,2
"3738","35F","6A",5,3,20.025
"3739","35F","6B",4,2,20
"3740","35F","6C/D",5,1,13
"3741","35F","6E",1,0,5
"3742","35F","6F",2,0,2
"3743","35F","6G",1,0,1
"3744","35F","7A",2,0,2
"3745","35F","7B/C",2,0,5
"3746","35F","7F",4,0,6
"3747","35F","8",2,0,6
"3748","35F","9A",1,0,3
"3749","35F","9L",2,0,4
"3750","35F","9N",3,0,4
"3751","35F","9V",2,0,7
"3755","36","4",1,0,4
"3767","36","6A",1,0,8
"3768","36","6B",1,0,8
"3769","36","6C/D",1,0,5
"3773","36","7A",1,0,1
"3776","36","8",1,0,3
"3778","36","9L",1,0,2
"3780","36","9V",1,0,3
"3783","37","4",1,0,5
"3795","37","6A",2,0,11
"3796","37","6B",2,0,11
"3797","37","6C/D",1,0,7
"3798","37","6E",1,0,3
"3804","37","8",1,0,3
"3807","37","9N",1,0,3
"3808","37","9V",3,0,4
"3810","38","4",4,0,7
"3814","38","42",1,0,2
"3821","38","5",1,0,3
"3822","38","6A",4,0.975000000000001,15
"3823","38","6B",2,0,14.025
"3824","38","6C/D",2,0,8
"3825","38","6E",2,0,3
"3826","38","6F",1,0,1
"3827","38","6G",1,0,1
"3828","38","7A",1,0,2
"3829","38","7B/C",1,0,3
"3830","38","7F",4,0,4
"3831","38","8",1,0,4
"3832","38","9A",1,0,2
"3833","38","9L",1,0,3
"3834","38","9N",1,0,3
"3835","38","9V",2,0,5
"3856","39","7F",1,0,2
"3865","4","42",3,0,5
"3867","4","45",1,0,4
"3872","4","5",2,0,7
"3873","4","6A",9,9,36
"3874","4","6B",11,10,39
"3875","4","6C/D",7,5,25
"3876","4","6E",4,0,8
"3877","4","6F",1,0,3
"3878","4","6G",1,0,2
"3879","4","7A",1,0,4
"3880","4","7B/C",3,0,9
"3881","4","7F",5,0,11
"3882","4","8",3,0,11
"3883","4","9A",1,0,4.02499999999998
"3884","4","9L",3,0,7
"3885","4","9N",4,0,8
"3886","4","9V",8,1,12
"3892","40","46",1,0,0
"3896","40","5",1,0,1
"3898","40","6B",1,0,6.02499999999998
"3904","40","7B/C",1,0,2
"3963","42","6A",3,0,10
"3964","42","6B",3,0,10
"3965","42","6C/D",2,0,6
"3966","42","6E",1,0,2
"3967","42","6F",1,0,1
"3968","42","6G",1,0,1
"3970","42","7B/C",1,0,3
"3971","42","7F",2,0,3
"3972","42","8",1,0,3
"3973","42","9A",1,0,1
"3974","42","9L",1,0,2
"3975","42","9N",1,0,2
"3976","42","9V",3,0,3
"4002","45","6A",1,0,8
"4003","45","6B",1,0,7
"4004","45","6C/D",1,0,4
"4009","45","7B/C",1,0,2
"4010","45","7F",1,0,2
"4014","45","9N",1,0,2
"4015","45","9V",1,0,2
"4021","46","6B",1,0,5
"4038","47A","6B",1,0,3
"4044","47A","7B/C",1,0,1
"4082","5","6A",3,0,14
"4083","5","6B",2,0.975000000000001,13
"4084","5","6C/D",1,0,9
"4085","5","6E",1,0,3
"4089","5","7B/C",1,0,4
"4096","6A","6B",44,32,81
"4097","6A","6C/D",33,15,49
"4098","6A","6E",10,1,17
"4099","6A","6F",2,0,5
"4100","6A","6G",1,0,3
"4101","6A","7A",1,0,8
"4102","6A","7B/C",5,1,17.025
"4103","6A","7F",7,2,22
"4104","6A","8",5,3,23
"4105","6A","9A",3,0,9
"4106","6A","9L",3,0,13
"4107","6A","9N",3,1,16.025
"4108","6A","9V",10,4,27
"4109","6B","6C/D",29,16,48
"4110","6B","6E",13,1,16
"4111","6B","6F",2,0,6
"4112","6B","6G",1,0,4
"4113","6B","7A",1,0,8
"4114","6B","7B/C",6,1,17
"4115","6B","7F",7,2,22
"4116","6B","8",3,3,22
"4117","6B","9A",3,0,9
"4118","6B","9L",3,1,13
"4119","6B","9N",5,1,16
"4120","6B","9V",14,4,24
"4121","6C/D","6E",5,0,10
"4122","6C/D","6F",2,0,3
"4123","6C/D","6G",1,0,2
"4124","6C/D","7A",1,0,5
"4125","6C/D","7B/C",4,0,11
"4126","6C/D","7F",6,1,13
"4127","6C/D","8",4,1,13
"4128","6C/D","9A",2,0,6
"4129","6C/D","9L",3,0,9
"4130","6C/D","9N",3,0,10.025
"4131","6C/D","9V",8,2,15.025
"4132","6E","6F",1,0,1
"4133","6E","6G",1,0,1
"4135","6E","7B/C",1,0,4
"4136","6E","7F",1,0,5
"4137","6E","8",1,0,5
"4138","6E","9A",2,0,2
"4139","6E","9L",1,0,3
"4140","6E","9N",1,0,4
"4141","6E","9V",3,0,5
"4142","6F","6G",1,0,0
"4144","6F","7B/C",1,0,1
"4145","6F","7F",2,0,2
"4146","6F","8",1,0,2
"4147","6F","9A",1,0,1
"4148","6F","9L",1,0,1
"4149","6F","9N",1,0,1
"4150","6F","9V",1,0,2
"4152","6G","7B/C",1,0,1
"4153","6G","7F",1,0,1
"4154","6G","8",1,0,1
"4155","6G","9A",1,0,1
"4156","6G","9L",1,0,1
"4157","6G","9N",1,0,1
"4158","6G","9V",1,0,1
"4160","7A","7F",4,0,3
"4161","7A","8",2,0,2
"4163","7A","9L",1,0,2
"4164","7A","9N",1,0,2
"4166","7B/C","7F",3,0,5
"4167","7B/C","8",1,0,6
"4168","7B/C","9A",2,0,2
"4169","7B/C","9L",1,0,3
"4170","7B/C","9N",2,0,4
"4171","7B/C","9V",4,0,6
"4172","7F","8",3,0,6
"4173","7F","9A",1,0,3
"4174","7F","9L",2,0,4
"4175","7F","9N",3,0,5
"4176","7F","9V",5,0,7
"4177","8","9A",1,0,3
"4178","8","9L",3,0,4
"4179","8","9N",2,0,5
"4180","8","9V",3,0,7
"4181","9A","9L",1,0,2
"4182","9A","9N",1,0,2
"4183","9A","9V",4,0,3
"4184","9L","9N",5,0,3
"4185","9L","9V",2,0,4
"4186","9N","9V",4,0,5
