"","Serotype1","Serotype2","Freq","025tile","975tile"
"812","11E","23B",1,0,1
"813","11E","23F",1,0,3
"823","11E","3",1,0,2
"824","11E","31",1,0,1
"831","11E","34",1,0,2
"833","11E","35B",1,0,1
"836","11E","36",1,0,0
"840","11E","4",1,0,2
"852","11E","6A",1,0,4
"853","11E","6B",1,0,4
"854","11E","6C/D",1,0,2
"861","11E","8",1,0,1
"863","11E","9L",1,0,1
"865","11E","9V",1,0,1
"868","11F","12F",1,0,1
"869","11F","13",1,0,2
"870","11F","14",1,0,3
"871","11F","15A",1,0,2
"872","11F","15B/C",1,0,2
"873","11F","15F",1,0,1
"874","11F","16A",1,0,0
"877","11F","17F",1,0,1
"878","11F","18A",1,0,1
"879","11F","18B",1,0,1
"880","11F","18C",1,0,2
"881","11F","18F",1,0,1
"882","11F","19A",1,0,5
"883","11F","19B",1,0,1
"884","11F","19C",1,0,1
"885","11F","19F",1,0,5
"886","11F","2",1,0,0
"889","11F","21",1,0,1
"890","11F","22A",1,0,1
"891","11F","22F",1,0,2
"892","11F","23A",1,0,2
"893","11F","23B",1,0,1
"894","11F","23F",1,0,4
"896","11F","24B",1,0,0
"897","11F","24F",1,0,1
"903","11F","29",1,0,1
"904","11F","3",1,0,2.02499999999998
"905","11F","31",1,0,1
"912","11F","34",1,0,2
"914","11F","35B",1,0,2
"916","11F","35F",1,0,1.02499999999998
"919","11F","38",1,0,1
"921","11F","4",1,0,3
"925","11F","42",1,0,1
"933","11F","6A",1,0,5
"934","11F","6B",1,0,5
"935","11F","6C/D",1,0,3
"936","11F","6E",1,0,1
"937","11F","6F",1,0,0
"938","11F","6G",1,0,0
"940","11F","7B/C",1,0,1
"941","11F","7F",1,0,1
"942","11F","8",1,0,1.02499999999998
"943","11F","9A",1,0,1
"944","11F","9L",1,0,1
"945","11F","9N",1,0,1
"946","11F","9V",1,0,2
"947","12A","12B",1,0,1
"948","12A","12F",2,0,3
"949","12A","13",1,0,3
"950","12A","14",1,0,5
"951","12A","15A",1,0,4
"952","12A","15B/C",1,0,4
"953","12A","15F",1,0,2
"962","12A","19A",1,0,10
"965","12A","19F",1,0,9
"969","12A","21",1,0,3
"974","12A","23F",1,0,7
"983","12A","29",1,0,3
"984","12A","3",1,0,5
"998","12A","37",1,0,2
"1008","12A","46",1,0,1
"1013","12A","6A",1,0,10
"1014","12A","6B",1,0,10
"1015","12A","6C/D",1,0,6
"1016","12A","6E",1,0,2
"1026","12A","9V",1,0,3
"1027","12B","12F",4,0,2
"1031","12B","15B/C",1,0,3
"1050","12B","22F",1,0,2
"1063","12B","3",1,0,4
"1075","12B","35F",1,0,2
"1080","12B","4",1,0,4
"1081","12B","40",1,0,1
"1087","12B","46",1,0,1
"1093","12B","6B",2,0,8
"1094","12B","6C/D",1,0,5
"1098","12B","7A",1,0,1
"1100","12B","7F",1,0,3
"1103","12B","9L",1,0,2
"1104","12B","9N",1,0,2
"1106","12F","13",3,0,7
"1107","12F","14",3,1,10
"1108","12F","15A",4,0,8
"1109","12F","15B/C",6,0,10
"1110","12F","15F",2,0,4
"1111","12F","16A",1,0,1
"1112","12F","16F",2,0,7
"1114","12F","17F",2,0,5
"1115","12F","18A",1,0,4
"1116","12F","18B",2,0,3
"1117","12F","18C",3,0,7
"1118","12F","18F",1,0,3
"1119","12F","19A",7,2,19
"1120","12F","19B",1,0,3
"1121","12F","19C",1,0,2.02499999999998
"1122","12F","19F",6,2,19
"1123","12F","2",1,0,2
"1126","12F","21",2,0,6
"1127","12F","22A",1,0,4
"1128","12F","22F",5,0,5.02499999999998
"1129","12F","23A",4,0,6
"1130","12F","23B",4,0,6
"1131","12F","23F",5,1,15
"1132","12F","24A",1,0,2
"1133","12F","24B",2,0,1
"1134","12F","24F",2,0,4
"1139","12F","28F",1,0,2
"1140","12F","29",1,0,5
"1141","12F","3",8,0,11
"1142","12F","31",2,0,3
"1148","12F","33F",2,0,5
"1149","12F","34",3,0,7
"1150","12F","35A",1,0,4
"1151","12F","35B",2,0,6.02499999999998
"1153","12F","35F",2,0,5
"1154","12F","36",1,0,2
"1155","12F","37",1,0,3
"1156","12F","38",1,0,4
"1158","12F","4",5,0,10
"1159","12F","40",1,0,2
"1162","12F","42",1,0,3
"1165","12F","46",1,0,2
"1170","12F","6A",7,3,21
"1171","12F","6B",8,2,20
"1172","12F","6C/D",6,1,14
"1173","12F","6E",2,0,5
"1174","12F","6F",1,0,2
"1175","12F","6G",1,0,1
"1176","12F","7A",2,0,2
"1177","12F","7B/C",2,0,5
"1178","12F","7F",4,0,6
"1179","12F","8",4,0,6
"1180","12F","9A",1,0,3
"1181","12F","9L",3,0,4
"1182","12F","9N",3,0,5
"1183","12F","9V",5,0,7
"1184","13","14",5,1,14
"1185","13","15A",7,0,10
"1186","13","15B/C",8,0,11
"1187","13","15F",2,0,5
"1188","13","16A",1,0,2
"1189","13","16F",1,0,8
"1191","13","17F",3,0,6
"1192","13","18A",2,0,5
"1193","13","18B",2,0,3
"1194","13","18C",8,0,8
"1195","13","18F",2,0,3
"1196","13","19A",12,3,24
"1197","13","19B",2,0,4
"1198","13","19C",1,0,3
"1199","13","19F",11,3,22
"1200","13","2",1,0,2
"1203","13","21",3,0,6
"1204","13","22A",4,0,4
"1205","13","22F",5,0,7
"1206","13","23A",4,0,8
"1207","13","23B",4,0,6
"1208","13","23F",10,2,17
"1209","13","24A",1,0,2
"1210","13","24B",2,0,2
"1211","13","24F",3,0,4
"1214","13","27",1,0,2.02499999999998
"1216","13","28F",1,0,3
"1217","13","29",3,0,6
"1218","13","3",7,1,11
"1219","13","31",2,0,3.02499999999998
"1226","13","34",5,0,9
"1227","13","35A",2,0,4
"1228","13","35B",2,0,7
"1229","13","35C",3,0,6
"1230","13","35F",3,0,7
"1232","13","37",1,0,4
"1233","13","38",3,0,4
"1235","13","4",5,1,11
"1237","13","41A",1,0,1
"1239","13","42",2,0,3
"1241","13","45",1,0,3
"1246","13","5",1,0,4.02499999999998
"1247","13","6A",10,4,25
"1248","13","6B",9,4,26
"1249","13","6C/D",6,1,16
"1250","13","6E",4,0,5
"1251","13","6F",1,0,2
"1252","13","6G",1,0,1
"1253","13","7A",1,0,3
"1254","13","7B/C",3,0,6
"1255","13","7F",5,0,7
"1256","13","8",1,0,7
"1257","13","9A",1,0,3
"1258","13","9L",2,0,5
"1259","13","9N",2,0,6
"1260","13","9V",8,0,8
"1261","14","15A",9,2,16.025
"1262","14","15B/C",11,2,17
"1263","14","15F",4,0,8
"1264","14","16A",1,0,3
"1265","14","16F",2,1,13
"1267","14","17F",3,0,9
"1268","14","18A",4,0,7
"1269","14","18B",2,0,5.02499999999998
"1270","14","18C",6,1,14
"1271","14","18F",2,0,5.02499999999998
"1272","14","19A",21,10,40
"1273","14","19B",4,0,7
"1274","14","19C",2,0,4
"1275","14","19F",19,10,37
"1276","14","2",1,0,2
"1279","14","21",6,0,10
"1280","14","22A",3,0,7
"1281","14","22F",5,0,10
"1282","14","23A",8,1,13
"1283","14","23B",5,0,10
"1284","14","23F",9,6,28
"1285","14","24A",1,0,4
"1286","14","24B",2,0,3
"1287","14","24F",3,0,7
"1290","14","27",1,0,4
"1291","14","28A",1,0,4
"1292","14","28F",1,0,5
"1293","14","29",2,0,10
"1294","14","3",10,3,20
"1295","14","31",2,0,6
"1301","14","33F",1,0,8
"1302","14","34",3,1,15
"1303","14","35A",1,0,7
"1304","14","35B",4,1,12
"1305","14","35C",2,0,9
"1306","14","35F",2,0,11
"1307","14","36",1,0,4
"1308","14","37",1,0,6
"1309","14","38",4,0,8
"1310","14","39",1,0,5
"1311","14","4",9,3,20
"1312","14","40",1,0,4
"1315","14","42",1,0,6
"1317","14","45",1,0,4
"1318","14","46",1,0,3
"1322","14","5",3,0,7
"1323","14","6A",13,12,44
"1324","14","6B",11,11,43
"1325","14","6C/D",8,5,24
"1326","14","6E",3,0,9
"1327","14","6F",1,0,3
"1328","14","6G",1,0,2
"1329","14","7A",1,0,4
"1330","14","7B/C",6,0,9
"1331","14","7F",6,0,11
"1332","14","8",4,1,12
"1333","14","9A",2,0,5
"1334","14","9L",3,0,7
"1335","14","9N",2,0,8
"1336","14","9V",8,1,13
"1337","15A","15B/C",11,1,14
"1338","15A","15F",8,0,6
"1339","15A","16A",1,0,2.02499999999998
"1340","15A","16F",1,0,10
"1342","15A","17F",2,0,8
"1343","15A","18A",3,0,6
"1344","15A","18B",3,0,4
"1345","15A","18C",7,0.975000000000001,10
"1346","15A","18F",3,0,4
"1347","15A","19A",21,7,31.025
"1348","15A","19B",2,0,5
"1349","15A","19C",2,0,3
"1350","15A","19F",16,6,28.025
"1351","15A","2",1,0,2
"1354","15A","21",5,0,8
"1355","15A","22A",5,0,6
"1356","15A","22F",7,0,8
"1357","15A","23A",9,0,10
"1358","15A","23B",4,0,8
"1359","15A","23F",10,4,22
"1361","15A","24B",1,0,2
"1362","15A","24F",3,0,6
"1367","15A","28F",1,0,4
"1368","15A","29",3,0,8
"1369","15A","3",10,2,15
"1370","15A","31",2,0,5
"1372","15A","33A",1,0,3
"1373","15A","33B",1,0,5
"1376","15A","33F",3,0,7
"1377","15A","34",6,0,11
"1378","15A","35A",3,0,6
"1379","15A","35B",5,0,9
"1380","15A","35C",4,0,8
"1381","15A","35F",6,0,9
"1382","15A","36",2,0,3.02499999999998
"1383","15A","37",3,0,5
"1384","15A","38",1,0,5.02499999999998
"1386","15A","4",6,2,15
"1390","15A","42",2,0,5
"1392","15A","45",1,0,3
"1397","15A","5",1,0,6
"1398","15A","6A",11,7,32
"1399","15A","6B",8,6,32
"1400","15A","6C/D",7,3,19.025
"1401","15A","6E",3,0,7
"1402","15A","6F",1,0,2
"1403","15A","6G",1,0,2
"1404","15A","7A",1,0,3
"1405","15A","7B/C",3,0,7
"1406","15A","7F",3,0,9
"1407","15A","8",5,0,9
"1408","15A","9A",3,0,4
"1409","15A","9L",4,0,5
"1410","15A","9N",4,0,7
"1411","15A","9V",8,0,10.025
"1412","15B/C","15F",6,0,6
"1413","15B/C","16A",1,0,2
"1414","15B/C","16F",2,1,11
"1416","15B/C","17F",3,0,8
"1417","15B/C","18A",4,0,6
"1418","15B/C","18B",2,0,5
"1419","15B/C","18C",5,0,11
"1420","15B/C","18F",2,0,5
"1421","15B/C","19A",15,7,32
"1422","15B/C","19B",2,0,5
"1423","15B/C","19C",1,0,4
"1424","15B/C","19F",17,7,29.025
"1425","15B/C","2",2,0,3
"1428","15B/C","21",4,0,8.02499999999998
"1429","15B/C","22A",3,0,6
"1430","15B/C","22F",6,0,9
"1431","15B/C","23A",9,0,10
"1432","15B/C","23B",6,0,8
"1433","15B/C","23F",12,4,23
"1434","15B/C","24A",1,0,3
"1435","15B/C","24B",2,0,2
"1436","15B/C","24F",2,0,6
"1439","15B/C","27",1,0,3
"1441","15B/C","28F",2,0,4
"1442","15B/C","29",3,0,8
"1443","15B/C","3",8,2,16
"1444","15B/C","31",2,0,5
"1450","15B/C","33F",2,0,7
"1451","15B/C","34",5,1,11
"1452","15B/C","35A",2,0,6
"1453","15B/C","35B",4,0,10
"1454","15B/C","35C",1,0,7
"1455","15B/C","35F",3,0,9
"1456","15B/C","36",1,0,4
"1457","15B/C","37",2,0,5
"1458","15B/C","38",2,0,6
"1460","15B/C","4",7,2,16
"1464","15B/C","42",1,0,5
"1466","15B/C","45",1,0,3
"1471","15B/C","5",2,0,6
"1472","15B/C","6A",11,8,33.025
"1473","15B/C","6B",15,8,35
"1474","15B/C","6C/D",10,3,20
"1475","15B/C","6E",4,0,7
"1476","15B/C","6F",1,0,2
"1477","15B/C","6G",1,0,1
"1478","15B/C","7A",1,0,4
"1479","15B/C","7B/C",5,0,8
"1480","15B/C","7F",4,0,9
"1481","15B/C","8",2,0,9
"1482","15B/C","9A",2,0,4
"1483","15B/C","9L",3,0,6
"1484","15B/C","9N",3,0,7
"1485","15B/C","9V",10,1,11
"1486","15F","16A",1,0,1
"1489","15F","17F",2,0,4
"1490","15F","18A",3,0,3
"1491","15F","18B",1,0,2
"1492","15F","18C",2,0,5
"1493","15F","18F",1,0,2
"1494","15F","19A",7,1,15
"1495","15F","19B",2,0,3
"1496","15F","19C",1,0,2
"1497","15F","19F",7,1,14
"1498","15F","2",1,0,1
"1501","15F","21",2,0,4
"1502","15F","22A",1,0,3
"1503","15F","22F",3,0,4
"1504","15F","23A",5,0,5
"1505","15F","23B",3,0,4
"1506","15F","23F",6,0,10
"1508","15F","24B",1,0,1
"1509","15F","24F",2,0,3
"1515","15F","29",2,0,4
"1516","15F","3",7,0,8
"1517","15F","31",2,0,2
"1519","15F","33A",1,0,1
"1520","15F","33B",1,0,3
"1523","15F","33F",1,0,3
"1524","15F","34",2,0,6
"1525","15F","35A",1,0,3
"1526","15F","35B",2,0,5
"1528","15F","35F",2,0,4.02499999999998
"1529","15F","36",1,0,2
"1530","15F","37",1,0,2
"1531","15F","38",1,0,3
"1533","15F","4",2,0,7
"1537","15F","42",1,0,2
"1543","15F","48",1,0,2
"1544","15F","5",1,0,3
"1545","15F","6A",5,1,16
"1546","15F","6B",4,1,15
"1547","15F","6C/D",5,0,9
"1548","15F","6E",2,0,4
"1549","15F","6F",1,0,1
"1550","15F","6G",1,0,1
"1552","15F","7B/C",2,0,4
"1553","15F","7F",1,0,4
"1554","15F","8",3,0,5
"1555","15F","9A",2,0,2
"1556","15F","9L",2,0,3
"1557","15F","9N",1,0,4
