"","Sero1","Sero2","shared_mlst"
"250","10B","37",0
"251","10B","38",0
"252","10B","39",0
"253","10B","4",0
"254","10B","40",0
"255","10B","41A",0
"256","10B","41F",0
"257","10B","42",0
"258","10B","43",0
"259","10B","44",0
"260","10B","45",0
"261","10B","46",0
"262","10B","47A",0
"263","10B","47F",0
"264","10B","48",0
"265","10B","5",0
"266","10B","6A",1
"267","10B","6B",1
"268","10B","6C/D",1
"269","10B","6E",0
"270","10B","6F",0
"271","10B","6G",0
"272","10B","7A",0
"273","10B","7B/C",0
"274","10B","7F",1
"275","10B","8",0
"276","10B","9A",0
"277","10B","9L",0
"278","10B","9N",0
"279","10B","9V",0
"280","10C","10F",0
"281","10C","11A",0
"282","10C","11B",0
"283","10C","11C",0
"284","10C","11D",0
"285","10C","11E",0
"286","10C","11F",0
"287","10C","12A",0
"288","10C","12B",0
"289","10C","12F",0
"290","10C","13",0
"291","10C","14",0
"292","10C","15A",0
"293","10C","15B/C",0
"294","10C","15F",0
"295","10C","16A",0
"296","10C","16F",0
"297","10C","17A",0
"298","10C","17F",0
"299","10C","18A",0
"300","10C","18B",0
"301","10C","18C",0
"302","10C","18F",0
"303","10C","19A",0
"304","10C","19B",0
"305","10C","19C",0
"306","10C","19F",1
"307","10C","19А",0
"308","10C","2",0
"309","10C","20A",0
"310","10C","20B",0
"311","10C","21",0
"312","10C","22A",0
"313","10C","22F",0
"314","10C","23A",0
"315","10C","23B",0
"316","10C","23F",0
"317","10C","24A",0
"318","10C","24B",0
"319","10C","24F",0
"320","10C","25A",0
"321","10C","25F",0
"322","10C","27",0
"323","10C","28A",0
"324","10C","28F",0
"325","10C","29",0
"326","10C","3",1
"327","10C","31",0
"328","10C","32A",0
"329","10C","32F",0
"330","10C","33A",0
"331","10C","33B",0
"332","10C","33C",0
"333","10C","33D",0
"334","10C","33F",0
"335","10C","34",0
"336","10C","35A",0
"337","10C","35B",0
"338","10C","35C",0
"339","10C","35F",0
"340","10C","36",0
"341","10C","37",0
"342","10C","38",0
"343","10C","39",0
"344","10C","4",0
"345","10C","40",0
"346","10C","41A",0
"347","10C","41F",0
"348","10C","42",0
"349","10C","43",0
"350","10C","44",0
"351","10C","45",0
"352","10C","46",0
"353","10C","47A",0
"354","10C","47F",0
"355","10C","48",0
"356","10C","5",0
"357","10C","6A",0
"358","10C","6B",0
"359","10C","6C/D",0
"360","10C","6E",0
"361","10C","6F",0
"362","10C","6G",0
"363","10C","7A",0
"364","10C","7B/C",0
"365","10C","7F",0
"366","10C","8",0
"367","10C","9A",0
"368","10C","9L",0
"369","10C","9N",0
"370","10C","9V",0
"371","10F","11A",0
"372","10F","11B",0
"373","10F","11C",0
"374","10F","11D",0
"375","10F","11E",0
"376","10F","11F",0
"377","10F","12A",0
"378","10F","12B",0
"379","10F","12F",0
"380","10F","13",0
"381","10F","14",0
"382","10F","15A",0
"383","10F","15B/C",0
"384","10F","15F",0
"385","10F","16A",0
"386","10F","16F",0
"387","10F","17A",0
"388","10F","17F",0
"389","10F","18A",0
"390","10F","18B",0
"391","10F","18C",0
"392","10F","18F",0
"393","10F","19A",0
"394","10F","19B",0
"395","10F","19C",0
"396","10F","19F",0
"397","10F","19А",0
"398","10F","2",0
"399","10F","20A",0
"400","10F","20B",0
"401","10F","21",0
"402","10F","22A",0
"403","10F","22F",0
"404","10F","23A",0
"405","10F","23B",0
"406","10F","23F",0
"407","10F","24A",0
"408","10F","24B",0
"409","10F","24F",0
"410","10F","25A",0
"411","10F","25F",0
"412","10F","27",1
"413","10F","28A",0
"414","10F","28F",0
"415","10F","29",0
"416","10F","3",1
"417","10F","31",0
"418","10F","32A",0
"419","10F","32F",0
"420","10F","33A",0
"421","10F","33B",0
"422","10F","33C",0
"423","10F","33D",0
"424","10F","33F",0
"425","10F","34",0
"426","10F","35A",0
"427","10F","35B",0
"428","10F","35C",0
"429","10F","35F",0
"430","10F","36",0
"431","10F","37",0
"432","10F","38",0
"433","10F","39",0
"434","10F","4",0
"435","10F","40",0
"436","10F","41A",0
"437","10F","41F",0
"438","10F","42",0
"439","10F","43",0
"440","10F","44",0
"441","10F","45",0
"442","10F","46",0
"443","10F","47A",0
"444","10F","47F",0
"445","10F","48",0
"446","10F","5",0
"447","10F","6A",0
"448","10F","6B",0
"449","10F","6C/D",0
"450","10F","6E",0
"451","10F","6F",0
"452","10F","6G",0
"453","10F","7A",0
"454","10F","7B/C",0
"455","10F","7F",1
"456","10F","8",0
"457","10F","9A",0
"458","10F","9L",0
"459","10F","9N",0
"460","10F","9V",0
"461","11A","11B",1
"462","11A","11C",0
"463","11A","11D",1
"464","11A","11E",1
"465","11A","11F",0
"466","11A","12A",0
"467","11A","12B",0
"468","11A","12F",1
"469","11A","13",1
"470","11A","14",5
"471","11A","15A",3
"472","11A","15B/C",4
"473","11A","15F",2
"474","11A","16A",0
"475","11A","16F",2
"476","11A","17A",0
"477","11A","17F",0
"478","11A","18A",1
"479","11A","18B",0
"480","11A","18C",2
"481","11A","18F",0
"482","11A","19A",9
"483","11A","19B",0
"484","11A","19C",0
"485","11A","19F",6
"486","11A","19А",0
"487","11A","2",0
"488","11A","20A",0
"489","11A","20B",0
"490","11A","21",0
"491","11A","22A",0
"492","11A","22F",1
"493","11A","23A",2
"494","11A","23B",2
"495","11A","23F",2
"496","11A","24A",0
"497","11A","24B",0
"498","11A","24F",0
"499","11A","25A",1
"500","11A","25F",0
"501","11A","27",0
"502","11A","28A",0
"503","11A","28F",0
"504","11A","29",0
"505","11A","3",4
"506","11A","31",1
"507","11A","32A",0
"508","11A","32F",0
"509","11A","33A",3
"510","11A","33B",1
"511","11A","33C",0
"512","11A","33D",0
"513","11A","33F",3
"514","11A","34",0
"515","11A","35A",2
"516","11A","35B",2
"517","11A","35C",0
"518","11A","35F",2
"519","11A","36",0
"520","11A","37",0
"521","11A","38",2
"522","11A","39",0
"523","11A","4",1
"524","11A","40",0
"525","11A","41A",0
"526","11A","41F",0
"527","11A","42",0
"528","11A","43",0
"529","11A","44",0
"530","11A","45",0
"531","11A","46",0
"532","11A","47A",0
"533","11A","47F",0
"534","11A","48",0
"535","11A","5",0
"536","11A","6A",2
"537","11A","6B",3
"538","11A","6C/D",1
"539","11A","6E",0
"540","11A","6F",0
"541","11A","6G",0
"542","11A","7A",0
"543","11A","7B/C",1
"544","11A","7F",2
"545","11A","8",3
"546","11A","9A",2
"547","11A","9L",0
"548","11A","9N",1
"549","11A","9V",8
