"","sero_pair","Serotype1","Serotype2","ST_Obs","ST_Exp","CC_Obs","CC_Exp","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mc.index","ST_support","ST_confidence","ST_lift","ST_count","ST_chisq","ST_fisher","CC_support","CC_confidence","CC_lift","CC_count","CC_chisq","CC_fisher","mb_st_index_con","mb_st_index_lift","mb_cc_index_con","mb_cc_index_lift"
"13","11A - 6A","11A","6A",2,1,10,6,0,0,1,0,0,0.00275482093663912,0.0625,0.278374233128834,2,0.0246690944659633,0.997423421443726,0.015600624024961,0.3125,1.85474537037037,10,0.0255517706248408,0.0294589975180553,0,0.5,0,0
"14","11A - 6B","11A","6B",3,2,10,6,0,0,1,0,0,0.00413223140495868,0.09375,0.388928571428571,3,0.0463160052576334,0.992079120920143,0.015600624024961,0.3125,1.83772935779817,10,0.0277588187617351,0.0312907424666229,0,0.5,0,0
"15","13 - 19A","13","19A",2,0,12,3,0,0,1,0,0,0.00275482093663912,0.25,1.01966292134831,2,0.974573570363445,0.622051818153541,0.0187207488299532,0.48,2.98718446601942,12,9.21565713578064e-06,0.000135459710449383,0,0,0,0
"16","13 - 19F","13","19F",1,0,11,3,0,0,1,0,0,0.00137741046831956,0.125,0.630208333333333,1,0.600868426437317,0.831067070173433,0.0171606864274571,0.44,2.96884210526316,11,2.80488137467028e-05,0.000323685124812618,0,0.5,0,0
"17","13 - 6A","13","6A",1,0,10,4,0,0,1,0,0,0.00137741046831956,0.125,0.556748466257669,1,0.497562571640426,0.870673878752662,0.015600624024961,0.4,2.37407407407407,10,0.00160627158756058,0.00430102391457027,0,0.5,0,0
"18","13 - 6B","13","6B",1,0,9,4,0,0,1,0,0,0.00137741046831956,0.125,0.518571428571429,1,0.440315639299178,0.891268038562407,0.0140405616224649,0.36,2.11706422018349,9,0.00990988893520331,0.0158368892484871,0,0.5,0,0
"19","14 - 19A","14","19A",28,12,21,10,1,0,1,0,0,0.0385674931129477,0.358974358974359,1.46413137424373,28,0.0134059644537053,0.0116713721092494,0.0327613104524181,0.428571428571429,2.66712898751734,21,1.07668132404497e-07,2.75560869773744e-06,0,0,0,0
"20","14 - 19F","14","19F",22,13,19,10,1,0,1,0,0,0.0303030303030303,0.282051282051282,1.42200854700855,22,0.0497256191096627,0.0385484098351141,0.0296411856474259,0.387755102040816,2.61632653061224,19,9.06609187734043e-07,1.45958874495809e-05,0,0,0,0
"21","14 - 23F","14","23F",11,7,9,6,1,0,1,0,0,0.0151515151515152,0.141025641025641,0.914148351648352,11,0.73177222824246,0.686268974284955,0.0140405616224649,0.183673469387755,1.73139255702281,9,0.0664695003707874,0.0625199367393215,0,0.5,0,0
"22","14 - 3","14","3",6,2,10,3,0,0,1,0,0,0.00826446280991736,0.0769230769230769,1.32967032967033,6,0.445065143552739,0.290840739024684,0.015600624024961,0.204081632653061,2.90702947845805,10,0.000135158384636484,0.00111589912623745,0,0,0,0
"23","14 - 4","14","4",7,1,9,3,0,0,1,0,0,0.00964187327823691,0.0897435897435897,2.50591715976331,7,0.00666556767648325,0.0153516064048859,0.0140405616224649,0.183673469387755,2.61632653061225,9,0.00121629577349977,0.00450497925853677,0,0,0,0
"24","14 - 6A","14","6A",8,10,13,12,1,1,1,0,1,0.0110192837465565,0.102564102564103,0.456819254365267,8,0.00629134259426626,0.999018639254504,0.0202808112324493,0.26530612244898,1.57464096749811,13,0.0595472789975748,0.05124960724183,0,0.5,0,0
