"","stA","MLST","frequency"
"21118","19A","237",1
"21121","19F","237",1
"21268","6B","238",1
"21270","6E","238",1
"21311","19F","239",1
"21321","23F","239",1
"21331","3","239",1
"21375","9V","239",1
"21416","23F","240",1
"21494","18A","241",1
"21511","23F","241",1
"21566","1","242",1
"21583","15B/C","242",1
"21596","19F","242",1
"21604","23A","242",1
"21606","23F","242",1
"21616","3","242",1
"21647","6A","242",1
"21648","6B","242",1
"21649","6C/D","242",1
"21701","23F","243",1
"21824","4","244",1
"21931","5","245",1
"22014","4","246",1
"22109","4","247",1
"22204","4","248",1
"22299","4","249",1
"22326","1","250",1
"22451","19F","251",1
"22546","19F","252",1
"22693","6B","254",1
"22788","6B","255",1
"22841","23F","256",1
"22926","19F","257",1
"23072","6A","258",1
"23154","4","259",1
"23196","14","260",1
"23231","3","260",1
"23263","6B","260",1
"23270","7F","260",1
"23275","9V","260",1
"23292","15A","261",1
"23396","18C","262",1
"23504","23A","264",1
"23576","14","265",1
"23696","23F","267",1
"23778","19A","268",1
"23861","14","269",1
"24023","6B","270",1
"24063","19A","271",1
"24066","19F","271",1
"24076","23F","271",1
"24104","4","271",1
"24125","7F","271",1
"24171","23F","272",1
"24307","6A","273",1
"24308","6B","273",1
"24310","6E","273",1
"24348","19A","274",1
"24351","19F","274",1
"24433","15B/C","275",1
"24538","19A","276",1
"24541","19F","276",1
"24542","19А","276",1
"24633","19A","277",1
"24646","23F","277",1
"24688","6B","277",1
"24726","18C","280",1
"24782","6A","280",1
"24795","9V","280",1
"24877","6A","281",1
"24931","23F","282",1
"24972","6A","282",1
"24973","6B","282",1
"24974","6C/D","282",1
"25016","19F","283",1
"25162","6A","284",1
"25216","23F","285",1
"25311","23F","286",1
"25446","5","287",1
"25501","23F","288",1
"25636","5","289",1
"25691","23F","290",1
"25763","15B/C","291",1
"25857","15A","292",1
"25868","19A","292",1
"26018","6B","293",1
"26046","14","294",1
"26216","8","295",1
"26303","6B","296",1
"26321","11A","297",1
"26366","3","297",1
"26461","3","298",1
"26536","19F","299",1
"26601","1","300",1
"26696","1","301",1
"26791","1","302",1
"26886","1","303",1
"26916","19F","303",1
"26981","1","304",1
"27076","1","305",1
"27171","1","306",1
"27176","11A","306",1
"27177","11B","306",1
"27186","14","306",1
"27239","4","306",1
"27260","7F","306",1
"27265","9V","306",1
"27281","14","307",1
"27386","18C","308",1
"27485","19C","309",1
"27486","19F","309",1
"27617","38","310",1
"27673","19A","311",1
"27686","23F","311",1
"27771","19F","312",1
"27832","9A","312",1
"27917","6A","313",1
"27961","19F","314",1
"28053","19A","315",1
"28066","23F","315",1
"28076","3","315",1
"28107","6A","315",1
"28108","6B","315",1
"28110","6E","315",1
"28203","6B","316",1
"28298","6B","317",1
"28392","6A","318",1
"28433","19A","319",1
"28436","19F","319",1
"28528","19A","320",1
"28531","19F","320",1
"28583","6B","320",1
"28636","23F","321",1
"28731","23F","323",1
"28826","23F","324",1
"28921","23F","326",1
"29057","6A","327",1
"29058","6B","327",1
"29086","14","328",1
"29247","6A","329",1
"29276","14","330",1
"29371","14","333",1
"29542","9A","334",1
"29586","23F","335",1
"29663","17F","338",1
"29668","19A","338",1
"29679","23A","338",1
"29681","23F","338",1
"29724","6C/D","338",1
"29766","19F","339",1
"29858","19A","340",1
"29926","1","342",1
"29953","19A","342",1
"29956","19F","342",1
"29966","23F","342",1
"30036","14","343",1
"30146","19F","344",1
"30177","35B","344",1
"30197","6A","344",1
"30228","15B/C","346",1
"30336","19F","347",1
"30416","14","349",1
"30496","1","350",1
"30511","14","350",1
"30621","19F","351",1
"30713","19A","352",1
"30716","19F","352",1
"30726","23F","352",1
"30821","23F","353",1
"30916","23F","354",1
"31011","23F","355",1
"31106","23F","356",1
"31201","23F","357",1
"31296","23F","358",1
"31391","23F","359",1
"31486","23F","360",1
"31541","1","361",1
"31568","19A","361",1
"31580","23B","361",1
"31581","23F","361",1
"31602","35B","361",1
"31622","6A","361",1
"31623","6B","361",1
"31674","23A","362",1
"31676","23F","362",1
"31761","19F","363",1
"31909","6C/D","367",1
"31971","3","368",1
"32031","14","370",1
"32172","35B","373",1
"32221","14","374",1
"32222","15A","374",1
"32336","21","375",1
"32423","19A","376",1
"32477","6A","376",1
"32552","35B","377",1
"32636","3","378",1
"32711","19F","380",1
"32857","6A","381",1
"32898","19A","382",1
"32971","11A","383",1
"32986","16F","383",1
"32993","19A","383",1
"33143","6B","384",1
"33145","6E","384",1
"33238","6B","385",1
"33333","6B","386",1
"33334","6C/D","386",1
"33373","19A","387",1
"33386","23F","387",1
"33479","23A","388",1
"33481","23F","388",1
"33566","19F","389",1
"33661","19F","390",1
"33756","19F","391",1
"33815","7F","391",1
"33843","17F","392",1
"33848","19A","392",1
"33861","23F","392",1
"33921","11A","393",1
"33960","25A","393",1
"33982","38","393",1
"34005","7F","393",1
"34031","16F","394",1
"34187","6A","395",1
"34189","6C/D","395",1
"34282","6A","396",1
"34377","6A","397",1
"34472","6A","398",1
"34474","6C/D","398",1
"34568","6B","399",1
"34663","6B","400",1
"34758","6B","401",1
"34853","6B","402",1
"34948","6B","403",1
"35051","8","404",1
"35145","7F","405",1
"35149","9N","405",1
"35245","9V","406",1
"35340","9V","407",1
"35346","11A","408",1
"35431","8","408",1
"35451","14","409",1
"35547","15A","410",1
"35558","19A","410",1
"35613","6B","410",1
"35643","15B/C","411",1
"35653","19A","411",1
"35738","15B/C","412",1
"35833","15B/C","413",1
"35931","16F","414",1
"36033","19A","415",1
"36128","19A","416",1
"36131","19F","416",1
"36223","19A","417",1
"36318","19A","418",1
"36413","19A","419",1
"36511","19F","420",1
"36606","19F","421",1
"36701","19F","422",1
"36793","19A","423",1
"36796","19F","423",1
"36859","9N","423",1
"36891","19F","424",1
"36986","19F","425",1
"37081","19F","426",1
"37176","19F","427",1
"37276","21","429",1
"37371","21","430",1
"37466","21","431",1
"37561","21","432",1
"37648","19A","433",1
"37657","22A","433",1
"37658","22F","433",1
"37683","35C","433",1
"37693","42","433",1
"37753","22F","434",1
"37849","23A","435",1
"37944","23A","436",1
"38039","23A","437",1
"38134","23A","438",1
"38221","19F","439",1
"38229","23A","439",1
"38230","23B","439",1
"38231","23F","439",1
"38326","23F","440",1
"38421","23F","441",1
"38516","23F","442",1
"38617","27","443",1
"38717","31","444",1
"38815","33A","445",1
"38819","33F","445",1
"38919","35F","446",1
"39001","3","447",1
"39016","37","447",1
"39076","19F","448",1
"39084","23A","448",1
"39127","6A","448",1
"39168","19A","450",1
"39286","3","451",1
"39380","29","452",1
"39392","35B","452",1
"39466","23F","453",1
"39561","23F","454",1
"39656","23F","455",1
"39716","11A","456",1
"39887","6A","457",1
"39901","1","458",1
"39918","15B/C","458",1
"39931","19F","458",1
"39936","21","458",1
"39951","3","458",1
"39995","9V","458",1
"40026","19F","459",1
"40092","10A","460",1
"40172","6A","460",1
"40174","6C/D","460",1
"40187","10A","461",1
"40311","19F","462",1
"40458","6B","463",1
"40565","9V","464",1
"40648","6B","465",1
"40755","9V","467",1
"40850","9V","468",1
"40933","6B","469",1
"41027","6A","470",1
"41122","6A","471",1
"41217","6A","472",1
"41232","10A","473",1
"41233","10B","473",1
"41247","15A","473",1
"41248","15B/C","473",1
"41271","23F","473",1
"41312","6A","473",1
"41313","6B","473",1
"41314","6C/D","473",1
"41356","19F","474",1
"41503","6B","475",1
"41546","19F","476",1
"41670","34","478",1
"41693","6B","478",1
"41787","6A","479",1
"41882","6A","481",1
"41923","19A","482",1
"42021","19F","483",1
"42116","19F","484",1
"42211","19F","485",1
"42357","6A","486",1
"42434","35F","487",1
"42547","6A","488",1
"42600","23B","489",1
"42643","6B","489",1
"42737","6A","490",1
"42738","6B","490",1
"42739","6C/D","490",1
"42833","6B","492",1
"42876","19F","494",1
"42893","28A","494",1
"43023","6B","495",1
"43061","18C","496",1
"43158","19A","497",1
"43213","6B","497",1
"43289","35F","498",1
"43338","15B/C","499",1
"43402","6A","499",1
"43403","6B","499",1
"43421","11A","500",1
"43592","6A","501",1
"43688","6B","502",1
"43782","6A","503",1
"43836","23F","504",1
"43907","15A","505",1
"43918","19A","505",1
"43941","3","505",1
"44068","6B","506",1
"44096","14","507",1
"44121","23F","507",1
"44181","11A","509",1
"44353","6B","510",1
"44371","11A","511",1
"44542","6A","512",1
"44561","11A","513",1
"44732","6A","514",1
"44786","23F","515",1
"44922","6A","516",1
"45029","9N","517",1
"45030","9V","517",1
"45112","6A","518",1
"45208","6B","522",1
"45251","19F","523",1
"45354","23A","524",1
"45504","9N","525",1
"45536","19F","526",1
"45682","6A","529",1
"45777","6A","532",1
"45842","31","533",1
"45916","19F","534",1
"46021","23F","535",1
"46106","19F","536",1
"46253","6B","537",1
"46347","6A","538",1
"46376","14","539",1
"46483","19A","540",1
"46591","23F","541",1
"46671","18C","542",1
"46781","23F","543",1
"46851","14","544",1
"46961","19F","545",1
"47074","28F","546",1
"47180","34","547",1
"47202","6A","547",1
"47204","6C/D","547",1
"47243","19A","548",1
"47338","19A","549",1
"47341","19F","549",1
"47421","14","550",1
"47541","23F","551",1
"47678","6B","552",1
"47773","6B","553",1
"47801","14","554",1
"47896","14","555",1
"48006","19F","556",1
"48076","11A","557",1
"48086","14","557",1
"48098","19A","557",1
"48101","19F","557",1
"48153","6B","557",1
"48165","9V","557",1
"48193","19A","558",1
"48215","29","558",1
"48227","35B","558",1
"48260","9V","558",1
"48343","6B","559",1
"48438","6B","560",1
"48533","6B","562",1
"48585","23B","563",1
"48656","14","564",1
"48787","31","567",1
"48882","31","568",1
"49006","5","569",1
"49041","16F","570",1
"49162","27","571",1
"49225","13","574",1
"49233","17F","574",1
"49243","2","574",1
"49355","29","575",1
"49491","8","578",1
"49577","6A","581",1
"49640","29","582",1
"49754","4","584",1
"49782","10A","585",1
"49906","19F","586",1
"50003","2","595",1
"50021","3","595",1
"50117","31","596",1
"50162","10A","598",1
"50163","10B","598",1
"50296","23F","599",1
"50432","6A","600",1
"50434","6C/D","600",1
"50468","17F","601",1
"50581","23F","602",1
"50676","23F","603",1
"50771","23F","604",1
"50908","6B","606",1
"51003","6B","607",1
"51033","15B/C","608",1
"51043","19A","608",1
"51110","9V","608",1
"51124","12F","609",1
"51205","9V","609",1
"51246","23F","610",1
"51301","1","611",1
"51383","6B","611",1
"51396","1","612",1
"51421","18C","612",1
"51491","1","613",1
"51586","1","614",1
"51681","1","615",1
"51711","19F","615",1
"51776","1","616",1
"51871","1","617",1
"51966","1","618",1
"52143","6B","619",1
"52238","6B","620",1
"52240","6E","620",1
"52281","19F","621",1
"52333","6B","621",1
"52361","14","622",1
"52456","14","623",1
"52618","6B","624",1
"52671","23F","625",1
"52766","23F","626",1
"52861","23F","627",1
"52956","23F","628",1
"53051","23F","629",1
"53111","11A","630",1
"53294","9N","631",1
"53389","9N","632",1
"53418","19A","634",1
"53516","19F","635",1
"53639","33F","636",1
"53701","18C","637",1
"53796","18C","638",1
"53948","6B","639",1
"53949","6C/D","639",1
"54043","6B","640",1
"54138","6B","641",1
"54245","9V","642",1
"54340","9V","643",1
"54358","15B/C","644",1
"54371","19F","644",1
"54402","35B","644",1
"54423","6B","644",1
"54435","9V","644",1
"54463","19A","645",1
"54561","19F","646",1
"54707","6A","647",1
"54746","18C","648",1
"54843","19A","649",1
"54846","19F","649",1
"54941","19F","650",1
"55036","19F","651",1
"55131","19F","652",1
"55223","19A","654",1
"55226","19F","654",1
"55321","19F","655",1
"55401","14","656",1
"55521","23F","657",1
"55591","14","658",1
"55691","16F","659",1
"55847","6A","660",1
"55901","23F","661",1
"56014","33F","662",1
"56078","19A","663",1
"56081","19F","663",1
"56234","7B/C","664",1
"56268","19A","665",1
"56361","18C","666",1
"56446","14","667",1
"56458","19A","667",1
"56461","19F","667",1
"56514","6C/D","667",1
"56553","19A","668",1
"56661","23F","669",1
"56715","9V","669",1
"56731","14","670",1
"56826","14","671",1
"56841","19F","671",1
"56933","19A","672",1
"57031","19F","673",1
"57039","23A","673",1
"57051","3","673",1
"57055","33A","673",1
"57059","33F","673",1
"57136","23F","674",1
"57272","6A","675",1
"57349","35F","676",1
"57411","19F","677",1
"57491","14","678",1
"57586","14","679",1
"57693","19A","680",1
"57842","6A","681",1
"57844","6C/D","681",1
"57846","6F","681",1
"57919","35F","684",1
"57978","19A","686",1
"58076","19F","688",1
"58156","14","689",1
"58263","19A","690",1
"58317","6A","690",1
"58320","6E","690",1
"58412","6A","691",1
"58466","23F","692",1
"58603","6B","693",1
"58631","14","694",1
"58738","19A","695",1
"58779","4","695",1
"58821","14","696",1
"58926","18C","697",1
"59033","22F","698",1
"59054","33F","698",1
"59118","19A","700",1
"59141","3","700",1
"59200","13","701",1
"59203","15B/C","701",1
"59268","6B","701",1
"59280","9V","701",1
"59298","15B/C","702",1
"59391","14","703",1
"59392","15A","703",1
"59487","15A","704",1
"59586","16F","705",1
"59755","9V","706",1
"59771","14","707",1
"59866","14","708",1
"59961","14","709",1
"60123","6B","710",1
"60151","14","711",1
"60261","19F","712",1
"60366","23F","713",1
"60461","23F","714",1
"60531","14","715",1
"60636","18C","716",1
"60756","3","717",1
"60764","33F","717",1
"60841","23F","719",1
"60901","11A","721",1
"61006","14","722",1
"61101","14","723",1
"61262","6A","724",1
"61263","6B","724",1
"61277","10A","725",1
"61452","6A","726",1
"61505","23B","727",1
"61575","13","728",1
"61719","35F","729",1
"61786","21","730",1
"61881","21","731",1
"61981","23F","732",1
"62063","19A","733",1
"62066","19F","733",1
"62145","13","734",1
"62266","23F","735",1
"62389","4","736",1
"62504","7B/C","737",1
"62526","14","738",1
"62628","17F","739",1
"62770","40","740",1
"62797","10A","741",1
"62892","10A","742",1
"63045","34","743",1
"63069","6C/D","743",1
"63162","6A","744",1
"63163","6B","744",1
"63239","35F","745",1
"63311","23F","746",1
"63447","6A","747",1
"63543","6B","748",1
"63586","19F","749",1
"63733","6B","750",1
"63827","6A","751",1
"63828","6B","751",1
"63935","9V","752",1
"64017","6A","753",1
"64097","38","755",1
"64208","6B","756",1
"64302","6A","757",1
"64397","6A","759",1
"64412","10A","760",1
"64520","13","761",1
"64631","19F","763",1
"64776","5","764",1
"64811","16F","765",1
"64903","15B/C","766",1
"64969","6C/D","766",1
"65071","8","767",1
"65158","6B","769",1
"65211","23F","770",1
"65239","4","770",1
"65293","19A","771",1
"65325","34","771",1
"65376","14","773",1
"65496","23F","774",1
"65591","23F","775",1
"65686","23F","776",1
"65781","23F","777",1
"65875","23B","778",1
"65876","23F","778",1
"65971","23F","779",1
"66066","23F","780",1
"66161","23F","781",1
"66231","14","782",1
"66326","14","784",1
"66421","14","785",1
"66516","14","786",1
"66611","14","787",1
"66773","6B","788",1
"66801","14","789",1
"66896","14","790",1
"66908","19A","790",1
"67003","19A","791",1
"67098","19A","794",1
"67206","23F","795",1
"67276","14","796",1
"67288","19A","796",1
"67371","14","797",1
"67466","14","798",1
"67573","19A","799",1
"67709","4","800",1
"67804","4","801",1
"67831","1","802",1
"67858","19A","802",1
"67861","19F","802",1
"67871","23F","802",1
"67911","5","802",1
"67966","23F","803",1
"68061","23F","804",1
"68156","23F","805",1
"68251","23F","806",1
"68386","5","807",1
"68469","4","808",1
"68526","19F","810",1
"68577","6A","810",1
"68674","6C/D","812",1
"68767","6A","813",1
"68871","8","815",1
"68877","10A","816",1
"68903","19A","816",1
"68987","15A","817",1
"68988","15B/C","817",1
"69103","22F","819",1
"69200","23B","820",1
"69337","6A","821",1
"69419","4","822",1
"69483","22F","828",1
"69578","22F","829",1
"69725","7F","830",1
"69768","22F","832",1
"69866","23F","833",1
"70014","9N","834",1
"70106","8","835",1
"70126","14","836",1
"70257","31","837",1
"70306","11A","838",1
"70316","14","838",1
"70395","9V","838",1
"70426","19F","839",1
"70496","11A","840",1
"70508","15B/C","840",1
"70551","35A","840",1
"70552","35B","840",1
"70585","9V","840",1
"70645","34","841",1
"70696","14","842",1
"70781","11A","843",1
"70806","19F","843",1
"70886","14","844",1
"70901","19F","844",1
"70939","4","844",1
"71047","6A","845",1
"71149","7B/C","846",1
"71183","19A","847",1
"71269","15F","848",1
"71273","17F","848",1
"71281","19F","848",1
"71291","23F","848",1
"71301","3","848",1
"71330","48","848",1
"71376","19F","849",1
"71456","14","850",1
"71481","23F","850",1
"71541","11A","851",1
"71632","10A","852",1
"71633","10B","852",1
"71726","1","853",1
"71794","4","853",1
"71902","6A","854",1
"71903","6B","854",1
"71943","19A","855",1
"71997","6A","855",1
"71999","6C/D","855",1
"72038","19A","856",1
"72123","15B/C","857",1
"72231","19F","858",1
"72378","6B","859",1
"72396","11A","861",1
"72406","14","861",1
"72407","15A","861",1
"72430","23B","861",1
"72536","3","862",1
"72601","16F","863",1
"72770","9V","864",1
"72786","14","865",1
"72934","4","867",1
"72998","22F","868",1
"73146","8","869",1
"73151","1","870",1
"73176","18C","870",1
"73219","4","870",1
"73276","19F","871",1
"73381","23F","872",1
"73466","19F","873",1
"73613","6B","874",1
"73641","14","875",1
"73736","14","876",1
"73748","19A","876",1
"73751","19F","876",1
"73898","6B","877",1
"73938","19A","878",1
"73941","19F","878",1
"73951","23F","878",1
"74036","19F","879",1
"74141","23F","880",1
"74182","6A","880",1
"74236","23F","881",1
"74372","6A","882",1
"74468","6B","885",1
"74521","23F","886",1
"74658","6B","887",1
"74698","19A","888",1
"74847","6A","889",1
"74888","19A","890",1
"75037","6A","891",1
"75132","6A","892",1
"75161","14","893",1
"75322","6A","894",1
"75418","6B","895",1
"75513","6B","896",1
"75541","14","898",1
"75648","19A","899",1
"75689","4","899",1
"75741","18C","900",1
"75825","13","901",1
"75988","6B","902",1
"76031","19F","903",1
"76177","6A","904",1
"76273","6B","905",1
"76301","14","908",1
"76385","10F","909",1
"76427","27","909",1
"76476","1","910",1
"76493","15B/C","910",1
"76498","17F","910",1
"76512","22A","910",1
"76544","4","910",1
"76643","42","911",1
"76693","19A","912",1
"76747","6A","912",1
"76842","6A","913",1
"76843","6B","913",1
"76937","6A","914",1
"76938","6B","914",1
"76966","14","915",1
"77128","6B","916",1
"77157","15A","917",1
"77171","19F","917",1
"77317","6A","919",1
"77318","6B","919",1
"77358","19A","920",1
"77366","21","920",1
"77485","34","921",1
"77543","17F","922",1
"77630","13","923",1
"77726","14","925",1
"77741","19F","925",1
