"","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"1","1 - 10A","1","10A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"2","1 - 10C","1","10C",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"3","1 - 11A","1","11A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"4","1 - 11B","1","11B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"5","1 - 14","1","14",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"6","1 - 15A","1","15A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"7","1 - 15B/C","1","15B/C",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"8","1 - 16F","1","16F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"9","1 - 17F","1","17F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"10","1 - 18C","1","18C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"11","1 - 19A","1","19A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"12","1 - 19F","1","19F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"13","1 - 21","1","21",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"14","1 - 22A","1","22A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"15","1 - 23A","1","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"16","1 - 23B","1","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"17","1 - 23F","1","23F",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"18","1 - 24F","1","24F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"19","1 - 3","1","3",1,0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"20","1 - 35B","1","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"21","1 - 38","1","38",1,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,5.5
"22","1 - 4","1","4",1,0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"23","1 - 42","1","42",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"24","1 - 5","1","5",0,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"25","1 - 6A","1","6A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"26","1 - 6B","1","6B",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"27","1 - 6C/D","1","6C/D",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"28","1 - 7F","1","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"29","1 - 9V","1","9V",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"30","10A - 10B","10A","10B",1,1,1,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,5.75
"31","10A - 10C","10A","10C",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"32","10A - 10F","10A","10F",1,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,3.25
"33","10A - 11A","10A","11A",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"34","10A - 11D","10A","11D",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"35","10A - 11E","10A","11E",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"36","10A - 15A","10A","15A",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"37","10A - 15B/C","10A","15B/C",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"38","10A - 19A","10A","19A",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"39","10A - 19F","10A","19F",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"40","10A - 22F","10A","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"41","10A - 23A","10A","23A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"42","10A - 23B","10A","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"43","10A - 23F","10A","23F",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"44","10A - 3","10A","3",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"45","10A - 6A","10A","6A",1,0,1,0,0.25,0,0,0,0.25,0,0.25,0,2.75
"46","10A - 6B","10A","6B",1,0,1,0,0,0,0,0,0.25,0,0.25,0,2.5
"47","10A - 6C/D","10A","6C/D",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"48","10A - 7F","10A","7F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"49","10A - 9A","10A","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"50","10A - 9V","10A","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"51","10B - 10F","10B","10F",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"52","10B - 15A","10B","15A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"53","10B - 15B/C","10B","15B/C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"54","10B - 19F","10B","19F",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"55","10B - 22F","10B","22F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"56","10B - 23F","10B","23F",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"57","10B - 6A","10B","6A",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"58","10B - 6B","10B","6B",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"59","10B - 6C/D","10B","6C/D",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"60","10B - 7F","10B","7F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"61","10C - 19F","10C","19F",0,0,0,0,0.25,0.25,0.25,0,0.25,0,0.25,0,1.25
"62","10C - 3","10C","3",0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,1.75
"63","10F - 27","10F","27",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,2.5
"64","10F - 3","10F","3",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"65","10F - 7F","10F","7F",0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,1.5
"66","11A - 11B","11A","11B",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"67","11A - 11D","11A","11D",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"68","11A - 11E","11A","11E",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"69","11A - 12F","11A","12F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"70","11A - 13","11A","13",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"71","11A - 14","11A","14",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"72","11A - 15A","11A","15A",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"73","11A - 15B/C","11A","15B/C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"74","11A - 15F","11A","15F",0,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"75","11A - 16F","11A","16F",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"76","11A - 18A","11A","18A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"77","11A - 18C","11A","18C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"78","11A - 19A","11A","19A",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"79","11A - 19F","11A","19F",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"80","11A - 22F","11A","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"81","11A - 23A","11A","23A",0,0,1,1,0,0,0.25,0,0,0.25,0.25,0.25,3
"82","11A - 23B","11A","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"83","11A - 23F","11A","23F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"84","11A - 25A","11A","25A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"85","11A - 3","11A","3",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"86","11A - 31","11A","31",0,0,1,1,0,0.25,0.25,0,0,0.25,0.25,0.25,3.25
"87","11A - 33A","11A","33A",1,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"88","11A - 33B","11A","33B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"89","11A - 33F","11A","33F",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"90","11A - 35A","11A","35A",0,1,1,1,0,0.25,0.25,0,0,0.25,0.25,0.25,4.25
"91","11A - 35B","11A","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"92","11A - 35F","11A","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"93","11A - 38","11A","38",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"94","11A - 4","11A","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"95","11A - 6A","11A","6A",0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,2.25
