"","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"199","15A - 23A","15A","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"200","15A - 23B","15A","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"201","15A - 23F","15A","23F",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"202","15A - 3","15A","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"203","15A - 31","15A","31",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"204","15A - 33F","15A","33F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"205","15A - 35B","15A","35B",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"206","15A - 37","15A","37",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"207","15A - 38","15A","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"208","15A - 4","15A","4",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"209","15A - 6A","15A","6A",0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,2.25
"210","15A - 6B","15A","6B",1,0,1,0,0,0.25,0,0,0,0,0.25,0,2.5
"211","15A - 6C/D","15A","6C/D",0,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,2
"212","15A - 7B/C","15A","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"213","15A - 8","15A","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"214","15A - 9A","15A","9A",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"215","15A - 9V","15A","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"216","15B/C - 15F","15B/C","15F",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"217","15B/C - 17F","15B/C","17F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0,1.75
"218","15B/C - 18C","15B/C","18C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"219","15B/C - 19A","15B/C","19A",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"220","15B/C - 19B","15B/C","19B",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"221","15B/C - 19F","15B/C","19F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"222","15B/C - 21","15B/C","21",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"223","15B/C - 22A","15B/C","22A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"224","15B/C - 22F","15B/C","22F",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"225","15B/C - 23A","15B/C","23A",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"226","15B/C - 23B","15B/C","23B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"227","15B/C - 23F","15B/C","23F",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"228","15B/C - 24A","15B/C","24A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"229","15B/C - 24F","15B/C","24F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"230","15B/C - 3","15B/C","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"231","15B/C - 31","15B/C","31",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,1.25
"232","15B/C - 35A","15B/C","35A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"233","15B/C - 35B","15B/C","35B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"234","15B/C - 38","15B/C","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"235","15B/C - 4","15B/C","4",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"236","15B/C - 6A","15B/C","6A",1,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,3.25
"237","15B/C - 6B","15B/C","6B",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"238","15B/C - 6C/D","15B/C","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"239","15B/C - 7B/C","15B/C","7B/C",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"240","15B/C - 8","15B/C","8",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"241","15B/C - 9A","15B/C","9A",0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.75
"242","15B/C - 9N","15B/C","9N",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"243","15B/C - 9V","15B/C","9V",1,1,1,0,0,0,0.25,0,0,0.25,0.25,0.25,4
